URL	عدد الدومينات	الحالة
https://raw.githubusercontent.com/elqiser00/1002/refs/heads/main/filters/BlackList.txt	182	OK
https://adguardteam.github.io/HostlistsRegistry/assets/filter_1.txt	180236	OK
https://adguardteam.github.io/HostlistsRegistry/assets/filter_59.txt	1066	OK
https://raw.githubusercontent.com/uBlockOrigin/uAssets/master/filters/badware.txt	3268	OK
https://raw.githubusercontent.com/uBlockOrigin/uAssets/master/filters/privacy.txt	679	OK
https://raw.githubusercontent.com/hagezi/dns-blocklists/main/adblock/pro.txt	229884	OK
https://raw.githubusercontent.com/hagezi/dns-blocklists/main/adblock/popupads.txt	50549	OK
https://raw.githubusercontent.com/AssoEchap/stalkerware-indicators/master/generated/quad9_blocklist.txt	968	OK
https://phishing.army/download/phishing_army_blocklist.txt	150222	OK
https://raw.githubusercontent.com/d3ward/toolz/master/src/d3host.txt	131	OK
https://malware-filter.gitlab.io/malware-filter/phishing-filter-agh.txt	39685	OK
https://dnsforge.de/blocklist.list	66	OK
https://raw.githubusercontent.com/StevenBlack/hosts/master/hosts	80166	OK
https://gitlab.com/quidsup/notrack-blocklists/raw/master/notrack-blocklist.txt	15243	OK
https://gitlab.com/quidsup/notrack-blocklists/raw/master/notrack-malware.txt	125	OK
https://raw.githubusercontent.com/crazy-max/WindowsSpyBlocker/master/data/hosts/spy.txt	347	OK
https://big.oisd.nl/	246552	OK
https://blocklistproject.github.io/Lists/basic.txt	76032	OK
https://blocklistproject.github.io/Lists/phishing.txt	190089	OK
https://blocklistproject.github.io/Lists/ransomware.txt	1904	OK
https://blocklistproject.github.io/Lists/tracking.txt	143866	OK
https://hole.cert.pl/domains/v2/domains.txt	132974	OK
https://o0.pages.dev/Lite/adblock.txt	3475	OK
https://perflyst.github.io/PiHoleBlocklist/AmazonFireTV.txt	16	OK
https://small.oisd.nl	56603	OK
https://blocklistproject.github.io/Lists/malware.txt	2643686	OK
https://blocklistproject.github.io/Lists/scam.txt	8527	OK
https://raw.githubusercontent.com/StevenBlack/hosts/master/alternates/fakenews-gambling/hosts	89267	OK
https://raw.githubusercontent.com/durablenapkin/scamblocklist/master/hosts.txt	2220	OK
https://raw.githubusercontent.com/hoshsadiq/adblock-nocoin-list/master/nocoin.txt	202	OK
https://raw.githubusercontent.com/hoshsadiq/adblock-nocoin-list/master/hosts.txt	312	OK
https://v.firebog.net/hosts/Easyprivacy.txt	43057	OK
https://small.oisd.nl/rpz	113208	OK
https://raw.githubusercontent.com/lassekongo83/Frellwits-filter-lists/master/Frellwits-Swedish-Hosts-File.txt	1156	OK
https://v.firebog.net/hosts/AdguardDNS.txt	179499	OK
https://raw.githubusercontent.com/hagezi/dns-blocklists/main/wildcard/gambling-onlydomains.txt	522436	OK
https://raw.githubusercontent.com/hagezi/dns-blocklists/main/wildcard/gambling.txt	522436	OK
https://urlhaus.abuse.ch/downloads/hostfile	374	OK
https://cdn.jsdelivr.net/gh/hagezi/dns-blocklists@latest/rpz/tif.mini.txt	367477	OK
https://raw.githubusercontent.com/xxcriticxx/.pl-host-file/master/hosts.txt	412	OK
https://raw.githubusercontent.com/Goooler/1024_hosts/master/hosts	3240	OK
https://1275.ru/DGA/bamital.txt	28698	OK
https://1275.ru/DGA/corebot.txt	2516	OK
https://1275.ru/DGA/cryptolocker.txt	234	OK
https://easylist.to/easylist/easylist.txt	55392	OK
https://secure.fanboy.co.nz/fanboy-cookiemonster.txt	686	OK
https://easylist.to/easylist/easyprivacy.txt	51733	OK
https://secure.fanboy.co.nz/fanboy-annoyance.txt	1848	OK
https://easylist.to/easylist/fanboy-social.txt	173	OK
https://raw.githubusercontent.com/heradhis/indonesianadblockrules/master/subscriptions/abpindo.txt	580	OK
https://abpvn.com/filter/abpvn-IPl6HE.txt	285	OK
http://stanev.org/abp/adblock_bg.txt	623	OK
https://raw.githubusercontent.com/DandelionSprout/adfilt/master/NorwegianExperimentalList%20alternate%20versions/NordicFiltersABP-Inclusion.txt	1238	OK
https://easylist-downloads.adblockplus.org/easylistchina.txt	9969	OK
https://raw.githubusercontent.com/tomasko126/easylistczechandslovak/master/filters.txt	188	OK
https://easylist-downloads.adblockplus.org/easylistdutch.txt	412	OK
https://easylist.to/easylistgermany/easylistgermany.txt	1975	OK
https://easylist-downloads.adblockplus.org/easylistitaly.txt	973	OK
https://raw.githubusercontent.com/EasyList-Lithuania/easylist_lithuania/master/easylistlithuania.txt	461	OK
https://easylist-downloads.adblockplus.org/easylistpolish.txt	543	OK
https://easylist-downloads.adblockplus.org/easylistportuguese.txt	288	OK
https://easylist-downloads.adblockplus.org/easylistspanish.txt	610	OK
https://easylist-downloads.adblockplus.org/indianlist.txt	5139	OK
https://easylist-downloads.adblockplus.org/koreanlist.txt	513	OK
https://raw.githubusercontent.com/Latvian-List/adblock-latvian/master/lists/latvian-list.txt	175	OK
https://easylist-downloads.adblockplus.org/Liste_AR.txt	819	OK
https://easylist-downloads.adblockplus.org/liste_fr.txt	9361	OK
https://www.zoso.ro/pages/rolist.txt	276	OK
https://easylist-downloads.adblockplus.org/advblock.txt	13351	OK
https://easylist-downloads.adblockplus.org/antiadblockfilters.txt	2397	OK
https://asc.hk/adplus.txt	11000	OK
https://openphish.com/feed.txt	300	OK
http://npc.0am.jp/hosts.php?dl=1	1000	OK
http://in0de.synology.me/pwn.txt	1864	OK
http://sysctl.org/cameleon/hosts	20555	OK
https://pastebin.com/raw/UP3s7pEB	7525	OK
http://abpvn.com/android/abpvn.txt	20245	OK
https://www.zoso.ro/pages/rolist.txt	276	OK
https://www.zoso.ro/pages/rolist2.txt	84	OK
http://winhelp2002.mvps.org/hosts.txt	8728	OK
https://urlhaus.abuse.ch/downloads/csv/	0	OK
https://cybercrime-tracker.net/ccamgate.php	211	OK
https://someonewhocares.org/hosts/zero/hosts	13081	OK
https://v.firebog.net/hosts/static/w3kbl.txt	356	OK
https://filters.hufilter.hu/hufilter-dns.txt	94	OK
https://dl.comss.org/download/Comss-filters.txt	217	OK
https://github.com/YanFung/Ads/raw/master/Mobile	694	OK
https://secure.fanboy.co.nz/r/fanboy-ultimate.txt	108978	OK
https://github.com/2771936993/HG/raw/main/hg1.txt	11917	OK
https://github.com/NyeUsr/Blacklist/raw/main/Main	8885	OK
https://github.com/abc45628/hosts/raw/master/hosts	811	OK
https://github.com/zznidar/BAR/raw/master/BAR-list	145	OK
https://github.com/qq5460168/666/raw/master/dns.txt	17230	OK
https://bymisi.github.io/1TermuxFiles/misihosts.txt	316	OK
https://github.com/jdlingyu/ad-wars/raw/master/hosts	1707	OK
https://github.com/meinhimmel/hosts/raw/master/hosts	144	OK
https://github.com/TonyRL/blocklist/raw/master/hosts	531	OK
https://hostfiles.frogeye.fr/multiparty-trackers.txt	19201	OK
https://github.com/nimasaj/uBOPa/raw/master/uBOPa.txt	580	OK
https://www.bentasker.co.uk/adblock/blockeddomains.txt	30665	OK
https://github.com/afwfv/DD-AD/raw/main/rule/DD-AD.txt	969	OK
https://github.com/qq5460168/dangchu/raw/main/black.txt	2910	OK
https://raw.githubusercontent.com/tiuxo/hosts/master/ads	1729	OK
https://github.com/smed79/blacklist/raw/master/hosts.txt	144106	OK
https://github.com/damengzhu/banad/raw/main/jiekouAD.txt	4690	OK
https://github.com/ammnt/DeadEnd/raw/main/inclusions.txt	1446	OK
https://github.com/ziozzang/adguard/raw/master/filter.txt	57	OK
https://hostfiles.frogeye.fr/multiparty-only-trackers.txt	13890	OK
https://s3.amazonaws.com/lists.disconnect.me/simple_ad.txt	2700	OK
https://github.com/MDP43140/BaDomain/raw/main/BaDomain.txt	8739	OK
https://github.com/jayluxferro/block-ads/raw/main/list.txt	6080	OK
https://github.com/avkiller/adguard_rules/raw/main/dns.txt	1107	OK
https://github.com/crssi/BlockLists/raw/main/BlockList.txt	68	OK
https://github.com/ion-lane/AdGuard_adlist/raw/main/adlist	698	OK
https://filters.adtidy.org/extension/chromium/filters/8.txt	485	OK
https://filters.adtidy.org/extension/chromium/filters/2.txt	73564	OK
https://filters.adtidy.org/extension/chromium/filters/6.txt	2472	OK
https://filters.adtidy.org/extension/chromium/filters/7.txt	2040	OK
https://filters.adtidy.org/extension/chromium/filters/1.txt	4846	OK
https://filters.adtidy.org/extension/chromium/filters/9.txt	840	OK
https://filters.adtidy.org/extension/chromium/filters/3.txt	112813	OK
https://github.com/craiu/mobiletrackers/raw/master/list.txt	973	OK
https://github.com/2RDLive/Pi-Hole/raw/master/Blacklist.txt	321	OK
https://github.com/NoGitHubForYou/yafp/raw/main/domains_ads	1566	OK
https://filters.adtidy.org/extension/chromium/filters/15.txt	180196	OK
https://filters.adtidy.org/extension/chromium/filters/14.txt	4513	OK
https://filters.adtidy.org/extension/chromium/filters/16.txt	9600	OK
https://filters.adtidy.org/extension/chromium/filters/11.txt	1414	OK
https://filters.adtidy.org/extension/chromium/filters/13.txt	1232	OK
https://github.com/scomper/surge-list/raw/master/reject.list	0	OK
https://github.com/jakdev121/AMS2/raw/master/pi_indo_ads.txt	721	OK
https://github.com/muxcc/AdsBlockLists/raw/master/aumm.hosts	1809	OK
https://github.com/symbuzzer/Turkish-Ad-Hosts/raw/main/hosts	2460	OK
https://paulgb.github.io/BarbBlock/blacklists/domain-list.txt	549	OK
https://github.com/willianreis89/ADsBlock/raw/master/list.txt	11451	OK
https://github.com/farrokhi/adblock-iran/raw/master/filter.txt	557	OK
https://github.com/easylist/easylist/raw/gh-pages/easylist.txt	55392	OK
https://raw.githubusercontent.com/bjornstar/hosts/master/hosts	6241	OK
https://raw.githubusercontent.com/chrisjudk/hosts/master/hosts	355	OK
https://github.com/pathforwardit/BlockList/raw/main/DomainList	536	OK
https://github.com/NoGitHubForYou/yafp/raw/main/subdomains_ads	1434	OK
https://github.com/dreammjow/MyFilters/raw/main/src/filters.txt	312	OK
https://raw.github.com/anudeepND/blacklist/master/adservers.txt	42516	OK
https://github.com/durablenapkin/block/raw/master/streaming.txt	117	OK
https://blocklistproject.github.io/Lists/alt-version/ads-nl.txt	233966	OK
https://blokada.org/blocklists/exodusprivacy/standard/hosts.txt	539	OK
https://github.com/DK-255/Pi-hole-list-1/raw/main/Ads-Blocklist	126	OK
https://github.com/doadin/Pi-Hole-Blocklist/raw/main/block.list	888	OK
https://github.com/lesong/Surge/raw/main/rule/BanProgramAD.list	0	OK
https://github.com/NoGitHubForYou/yafp/raw/main/domains_admiral	3758	OK
https://github.com/FutaGuard/LowTechFilter/raw/master/hosts.txt	627	OK
https://github.com/xinggsf/Adblock-Plus-Rule/raw/master/rule.txt	311	OK
https://raw.githubusercontent.com/yhonay/antipopads/master/hosts	755	OK
https://raw.githubusercontent.com/bigdargon/hostsVN/master/hosts	18401	OK
https://raw.githubusercontent.com/yous/YousList/master/hosts.txt	625	OK
https://github.com/aleclee/DNS-Blacklists/raw/master/AdHosts.txt	702	OK
https://blocklistproject.github.io/Lists/alt-version/scam-nl.txt	8527	OK
https://github.com/SlashArash/adblockfa/raw/master/adblockfa.txt	385	OK
https://github.com/igorskyflyer/ad-void/raw/main/AdVoid.Core.txt	3390	OK
